ID,Incident Type, Date Reported, Time and Date Occurred,Address,latitude,longitude, Disposition
308,Criminal Mischief`, 0526 10/06/2013, 0309 10/06/2013," 125 College Ave, NJ",40.502633,-74.451276, Open Case
309,Suspicious Drugs, 2053 10/06/2013, 2053 10/06/2013," 95 Joyce Kilmer Ave, NJ",40.489805,-74.450774, Unfounded
310,Theft, 2115 10/06/2013, 2000-2045 10/06/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
311,Theft, 2129 10/06/2013, 2129 10/06/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
312,Criminal Mischief`, 1536 10/07/2013, 0130 10/07/2013," 175 Bevier Road, NJ",40.525053,-74.462764, Open Case
313,Theft, 1133 10/07/2013, 1200 10/04 - 1500 10/06/2013," 128 College Ave, NJ",40.502808,-74.451497, Open Case
314,Possessin of CDS, 1100 10/07/2013, 1100 10/07/2013," 38 Biel Road West, NJ",40.478377,-74.431513, Arrest
315,Theft, 1400 10/07/2013, 0904 - 1730 10/07/2013," 671 Hoes Lane West, NJ",40.525149,-74.470615, Open Case
316,Theft, 1434 10/07/2013, 1200 10/07/2013," 618 Allison Road, NJ",40.077299,-74.840921, Open Case
317,Theft, 1957 10/07/2013, 1200 10/05 1800 10/06/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Unfounded
318,Theft, 0523 10/08/2013, 2000-2158 10/07/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
319,Arrest on Warrant, 0211 10/08/2013, 0047 10/08/2013," Bartlett and Wyckoff, NJ",40.500395,-74.454197, Arrest
320,Theft, 1127 10/08/2013, 0852-1100 10/08/2013," 604 Bartholomew Road, NJ",40.523408,-74.458721, Unfounded
321,Theft, 1530 10/08/2013, 1145-1730 10/01/2013," 33 Livingston Ave, NJ",40.492800,-74.444958, Open Case
322,Simple Assault, 2056 10/07/2013, 1817 10/08/2013," 603 Marvin Lane, NJ",40.519862,-74.454789, Open Case
323,Theft, 2059 10/08/2013, 2059 10/03 - 2012 10/08/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
324,Forgery, 1147 10/09/2013, 1600 10/09/2013," 98 Brett Road, NJ",40.522259,-74.459850, Open Case
325,Suspicious Drugs, 1523 10/09/2013, 1523 10/09/2013," 581 Taylor Road, NJ",39.594496,-75.084295, Open Case
326,Theft, 1812 10/09/2013, 2345 10/03 - 0010 10/06/2013," Biel Road, NJ",40.478511,-74.430024, Open Case
327,Harassment, 1658 10/09/2013, 1658 10/09/2013," Commercial Ave, NJ",40.483820,-74.443489, Unfounded
328,Theft, 1840 10/09/2013, 1800-1830 10/09/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
329,Criminal Trespass, 2322 10/09/2013, 2322 10/09/2013," 23 Avenue E, NJ",40.654783,-74.124154, Open Case
330,Theft, 2208 10/09/2013, 2125-2130 10/09/2013," 55 Rockafeller Road, NJ",40.525539,-74.438223, Open Case
331,Suspicious Drugs, 0040 10/10/2013, 0040 10/10/2013," 620 Marvin Lane, NJ",40.519857,-74.454848, Unfounded
332,Criminal Trespass/Possession of CDS, 1515 10/10/2013, 0123-0124 10/10/2013," 510 George Street, NJ",40.500805,-74.445716, Open Case
333,Suspicious Drugs, 1130 10/10/2013, 1130 10/10/2013," 28 Easton Ave, NJ",40.496617,-74.446624, Unfounded
334,Forgery, 1307 10/10/2013, 0730-1440 10/09/2013," 100 George Street, NJ",40.484347,-74.436933, Open Case
335,Theft, 2208 10/10/2013, 2100-2110 10/10/2013," 43 Bevier Road, NJ",40.522213,-74.455920, Unfounded
336,DWI/Refusal, 2342 10/10/2013, 2216 10/10/2013," George and New Sts., NJ",40.492305,-74.443288, Arrest
337,Theft, 2238 10/10/2013, 2238 10/10/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Unfounded
338,Disorderly Conduct, 0059 10/11/2013, 2332 10/10/2013," 510 George Street, NJ",40.500805,-74.445716, Arrest
339,Burglary, 0201 10/11/2013, 0054 10/11/2013," 4 Mine Street, NJ",40.508735,-74.859045, Unfounded
340,Suspicious Drugs, 0124 10/10/2013, 0124 10/10/2013," 39 Biel Road East, NJ",40.478942,-74.432261, Unfounded
341,Disclose Sexual Image w/o consent, 1058 10/11/2013, 0000 09/01/2013," 55 Rockefeller Road, NJ",39.559258,-74.855098, Open Case
342,Theft, 1741 10/11/2013, 1555-1601 10/11/2013," 99 Davidson Road, NJ",40.524863,-74.458820, Open Case
343,Suspicious Drugs, 0254 10/13/2013, 0254 10/13/2013," 23 Avenue E, NJ",40.654783,-74.124154, Unfounded
344,Suspicious Drugs, 0115 10/12/2013, 0115 10/12/2013," 290 George Street, NJ",40.491800,-74.443010, Unfounded
345,Criminal Mischief`, 0352 10/12/2013, 0215 10/12/2013," 611 George Street, NJ",40.503592,-74.448256, Open Case
346,Theft, 1316 10/12/2013, 0005-0015 10/12/2013," 116 College Ave, NJ",40.502247,-74.451335, Open Case
347,Theft, 1524 10/12/2013, 2345-2359 10/11/2013," 106 College Ave, NJ",40.501823,-74.450507, Open Case
348,Theft, 1820 10/12/2013, 1300 10/10/2013," 54 Joyce Kilmer Ave , NJ",40.521980,-74.434878, Open Case
349,Suspicious Drugs, 0142 10/13/2013, 0142 10/13/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Unfounded
350,Criminal Mischief`, 0811 10/13/2013, 0900 10/12 - 0730 10/13/2013," 95 Joyce Kilmer Ave, NJ",40.489805,-74.450774, Open Case
351,Theft, 1201 10/13/2013, 0416 10/13/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
352,Criminal Mischief`, 1407 10/13/2013 , 2300 10/12 - 1300 10/13/2013," 36 Bevier Road, NJ",40.524602,-74.461202, Open Case
353,Suspicious Drugs, 1625 10/13/2013, 1625.10/13/2013," 1625 10/13/2013, NJ",41.011107,-75.196249, Unfounded
354,Theft, 1833 10/13/2013, 0000-0030 10/13/2013," 84 Joyce Kilmer Ave, NJ",40.523391,-74.437402, Open Case
355,Theft, 0141 10/14/2013, 0630-0640 10/13/2014," 1030 River Road, NJ",40.829848,-73.972256, Open Case
356,Disorderly Conduct/Obstruction/Res Arrest, 0030 10/14/2013, 0000 10/14/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Arrest
357,Criminal Mischief/Theft, 0744 10/14/2013, 10/13 - 10/14/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
358,Suspicious Drugs, 1455 10/13/2013, 1455 10/13/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Unfounded
359,Criminal Mischief, 1151 10/14/2013, 1100 10/13 - 0830 10/14/2013," 49 Labor Center Way, NJ",40.480604,-74.425497, Open Case
360,Burglary/Theft, 1317 10/14/2013, 1600 10/11 - 1400 10/12/2013," 14 Union Street, NJ",40.711379,-74.070809, Open Case
361,Theft, 1406 10/14/2013, 0138 10/12/2013," 611 George Street, NJ",40.503592,-74.448256, Open Case
362,Theft, 1814 10/14/2013, 1700 10/14/2013," 113 College Ave, NJ",40.502328,-74.450974, Open Case
363,Theft, 2148 10/14/2013, 1200 09/30 - 1730 10/01/2013," 14 Union Street, NJ",40.711379,-74.070809, Open Case
364,Possession of CDS/Poss Paraph, 1523 10/15/2013, 0113 10/15/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Arrest
365,Possession of CDS/Poss Paraph, 0204 10/16/2013, 0204 10/16/2013," 610 Bartholomew Road, NJ",40.523628,-74.458098, Arrest
366,Theft, 0431 10/16/2013, 0258-0306 10'/16/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
367,Theft, 1614 10/16/2013, 1400 10/16/2013," 95 Joyce Kilmer Ave, NJ",40.489805,-74.450774, Open Case
368,Arrest on Warrant, 1840 10/16/2013, 1755 10/16/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Arrest
369,Fraud/Theft of Credit Card, 2239 10/16/2013, 2239 10/16/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
370,Fraud, 2305 10/16/2013, 1000 09/26/2013," 82 Marvin Lane, NJ",40.520717,-74.453796, Open Case
371,Suspicious Drugs, 2229 10/16/2013, 2229 10/16/2013," 125 Demerest Hall, NJ",40.999967,-74.023160, Unfounded
372,Lewd Act, 1053 10/17/2013, 1053 10/17/2013," 53 Avenue E, NJ",40.655622,-74.122199, Open Case
373,Harassment, 1441 10/17/2013, 1900 10/03/2013," 173 Nichol Ave, NJ",40.480167,-74.442340, Open Case
374,Simple Assault (DV), 1935 10/17/2013, 1935 10/17/2013," 49 Biel Road West, NJ",40.478495,-74.430041, Open Case
375,Theft, 1955 10/17/2013, 1804 10/17/2013," 100 Somerset Street, NJ",40.496271,-74.445874, Open Case
376,Burglary/Theft, 2110 10/18/2013, 1900 09/09 - 1900 10/04/2013," 617 George Street, NJ",40.502700,-74.446712, Open Case
377,Harassment (DV), 2349 10/17/2013, 2155 10/17/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Open Case
378,Criminal Mischief, 0411 10/18/2013, 2200-2215 10/17/2013," 173 Ryders Lane, NJ",40.460438,-74.425476, Open Case
379,Poss CDS/Poss Marijuana/Poss Paraphernalia, 0040 10/18/2013, 0040 10/18/2013," 43 Biel Road West, NJ",40.478404,-74.431998, Arrest
380,Simple Assault, 0236 10/18/2013, 0050-0103 10/18/2013," 51 Mine Street, NJ",40.507407,-74.862790, Open Case
381,Theft, 0344 10/18/2013, 0030-0100 10/18/2013," 51 Mine Street, NJ",40.507407,-74.862790, Open Case
382,Theft, 0414 10/18/2013, 0000-0103 10/08/2013," 51 Mine Street, NJ",40.507407,-74.862790, Open Case
383,Lewd Acts, 0243 10/18/2013, 0243 10/18/2013," 88 Lipman Drive, NJ",40.483272,-74.437281, Unfounded
384,Suspicious Drugs, 0925 10/18/2013, 0925 10/18/2013," 43 Mine Street, NJ",40.499819,-74.451548, Open Case
385,Harassment, 1003 10/18/2013, 1003 10/18/2013," 85 George Street, NJ",40.486167,-74.433759, Open Case
386,Theft, 1827 10/18/2013, 1645-1827 10/18/2013," 656 Bartholomew Rd, NJ",40.519529,-74.460885, Open Case
387,Theft, 0926 10/18/2013, 10/18/2013 2126," 118 Frelinghuysen Rd, NJ",40.522367,-74.464725, Open Case
388,Poss CDS/Poss Marijuana/Poss Paraphernalia, 2345 10/18/2013, 2212-2259 10/18/2013," Route 18S., NJ",40.351410,-74.285962, Arrest
389,Simple Assault;Harassment, 0158 10/19/2013, 0045 10/19/2013," 102 College Avenue, NJ",40.501735,-74.450416, Open Case
390,Robbery;Simple Assault, 0815 10/19/2013, 0330 10/19/2013," 622 George St, NJ",40.505029,-74.451049, Open Case
391,Criminal Mischief, 1227 10/19/2013, 1227 10/19/2013," 73 Hamilton Street, NJ",40.747144,-74.161831, Open Case
392,Burglary/Theft, 1045 10/19/2013, 0300-0900 10/19/2013," 43 Dudley Road, NJ",40.480139,-74.432087, Open Case
393,Theft, 1708 10/18/2013, 0300-0329 10/19/2013," College and Seniro, NJ",40.504001,-74.452704, Arrest
394,Simple Assault, 1439 10/19/2013, 200 41/81," 94 Easton Avenue, NJ",40.498704,-74.451513, Open Case
395,Theft, 1457 10/19/2013, 0300 - 0128 10/19/2013," 58 Easton Avenue, NJ",40.497898,-74.449079, Open Case
396,Theft, 1619 10/20/2013, 1400-1500 10/19/2013," 656 Bartholomew Road, NJ",40.519529,-74.460885, Open Case
397,Theft, 1741 10/19/2013, 1500-1615 10/19/2013," 656 Bartholomew Road, NJ",40.519529,-74.460885, Open Case
398,Theft, 1930pm 10/19/2013, 2300 10/18/2013 1100 10/19/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Open Case
399,Suspicious Drugs, 2349 10/19/2013, 2349 10/19/2013," 290 George Street, NJ",40.491800,-74.443010, Unfounded
400,Criminal Mischief, 0136 10/20/2013, 0136 10/20/2013," 2340-2350 10/19/2013, NJ",40.058324,-74.405661, Open Case
401,DWI, 0512 10/20/2013, 2055-2100 10/20/2013," 126 College Ave, NJ",40.502910,-74.452141, Arrest
402,Criminal Mischief, 0821 10/20/2013, 0821 10/20/2013," 14 Union Street, NJ",40.711379,-74.070809, Open Case
403,Theft, 0943 10/20/2013, 0943 10/20/2013," Courtlandt & Duke Sts., NJ",40.498914,-74.457752, Open Case
404,Criminal Mischief, 1045 10/20/2013, 1722 10/20/2013," Postal Plaza, NJ",40.518358,-74.432484, Open Case
405,Criminal Mischief, 1413 10/20/2013, 1413 10/20/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
406,Theft, 1922 10/20/2013, 1430 10/19 - 1736 10/20/2013," 188 Davidson Road, NJ",40.528259,-74.465137, Open Case
407,Theft, 2350 10/20/2013, 1745-1845 10/20/2013," 656 Bartholomew Rd, NJ",40.519529,-74.460885, Open Case
408,Criminal Mischief, 2246 10/20/2013, 1600 10/11 - 1700 10/20/2013," 23 Bishop Place, NJ",40.501884,-74.450200, Open Case
409,Theft, 2004 10/20/2013, 2100 10/20/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
410,Assault, 2345 10/20/2013, 2230 10/20/2013," 70 Joyce Kilmer Ave, NJ",40.490643,-74.449869, Open Case
411,Suspicious Drugs, 2250 10/20/2013, 2250 10/20/2013," 47 Labor Center Way, NJ",40.480604,-74.425497, Unfounded
412,Theft, 1708 10/21/2013, 1200-2300 10/18/2013," 33 Livingston Ave, NJ",40.492800,-74.444958, Open Case
413,Theft, 1124 10/21/2013,10/18/2013 21:30:00," 615 George St, NJ",40.502688,-74.446701, Open Case
414,Theft, 1502 10/21/2013, 1400-1416 10/21/2018," 54 Joyce Kilmer Ave , NJ",40.521980,-74.434878, Open Case
415,Theft, 1708 10/21/2013, 2130 10/18/2013," 615 George St, NJ",40.502688,-74.446701, Open Case
416,Harassment, 2108 10/21/2013, 2108 10/21/2013," 52 Brett Road, NJ",40.520599,-74.452656, Open Case
417,Suspicious Drugs, 2333 10/21/2013, 2333 10/21/2013," 43 Bevier Road, NJ",40.522213,-74.455920, Unfounded
418,Harassment/Criminal Mischief, 1219 10/22/2013, 1200 06/01 1200 07/31/2013," 51 Street 1603, NJ",40.787336,-74.029798, Open Case
419,Harassment/Criminal Mischief, 1038 10/22/2013, 2125 10/21/2013," 23 Avenue E, NJ",40.654783,-74.124154, Open Case
420,Theft, 1331 10/22/2013, 1552 10/19/2013," 85 Davidson Road, NJ",40.524678,-74.457388, Open Case
421,Theft, 1735 10/22/2013, 1407 10/22/2013," 169 College Ave, NJ",40.504402,-74.453090, Open Case
422,Theft, 1745 10/22/2013, 1545-1605 10/22/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
423,Theft, 2018 10/22/2013, 0000-0030 10/18/2013," 121 Hamilton St, NJ",40.498551,-74.449250, Open Case
424,Suspicious Drugs, 2131 10/22/2013, 2131 10/22/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Unfounded
425,Suspicious Drugs, 0012 10/23/2013, 0012 10/23/2013," 54 Bevier Road, NJ",40.519093,-74.455172, Unfounded
426,Robbery, 0320 10/22/2013, 0300 10/22/2013," George and Commercial, NJ",40.487205,-74.439965, Open Case
427,Robbery, 0829 10/23/2013, 0829 10/23/2013," 83 Somerset Street, NJ",40.497862,-74.446363, Open Case
428,Theft, 0857 10/23/2013, 0857 10/23/2013," 10 Seminary Place, NJ",41.070946,-74.184289, Open Case
429,Theft, 1056 10/23/2013, 1045 10/23/2013," 169 College Ave, NJ",40.504402,-74.453090, Open Case
430,Theft, 1153 10/23/2013,10/22/2013," 2 Chapel Drive, NJ",40.535828,-74.580092, Open Case
431,Theft, 1350 10/23/2013, 1330-1340 10/23/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
432,Theft, 1615 10/23/2013, 1555-1610 10/23/2013," 590 George Street, NJ",40.503713,-74.448559, Open Case
433,Theft, 1744 10/23/2013, 2200-2300 10/17/2013," 52 Brett Road, NJ",40.520599,-74.452656, Open Case
434,Theft, 2353 10/23/2013, 1945-2215 10/22/2013," 177 Ryders Lane, NJ",40.460370,-74.425468, Open Case
435,Suspicious Drugs, 1957 10/23/2013, 1957 10/23/2013," 70 Joyce Kilmer Ave, NJ",40.490643,-74.449869, Closed Case
436,Suspicious Drugs, 2136 10/23/2013, 2136 10/23/2013," 93 Gibbons Circle, NJ",40.486322,-74.431708, Unfounded
437,Suspicious Drugs, 2239 10/23/2013, 2239 10/23/2013," 125 College Ave, NJ",40.502633,-74.451276, Unfounded
438,Suspicious Drugs, 2310 10/23/2013, 2310 10/23/2013," 125 College Ave, NJ",40.502633,-74.451276, Unfounded
439,Suspicious Drugs, 2340 10/23/2013, 2340 10/23/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Unfounded
440,Arrest on Warrant, 1024 10/24/2013, 1024 1024?2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Arrest
441,Burglary/Theft, 1353 10/24/2013, 1353 10/24/2013," 10 Seminary Place, NJ",41.070946,-74.184289, Open Case
442,Suspicious Drugs, 1418 10/24/2013, 1418 10/24/2013," 671 Hoes Lane West, NJ",40.525149,-74.470615, Unfounded
443,Arrest on Warrant, 1504 10/24/2013, 1504 10/24/2013," 110 Frelinghuysen, NJ",40.822322,-74.500433, Arrest
444,Suspicious Drugs, 2132 10/24/2013, 2132 10/24/2013," 42 Bevier Road, NJ",40.524602,-74.461202, Unfounded
445,Suspicious Drugs, 2215 10/24/2013, 2215 10/24/2013," 615 George St, NJ",40.502688,-74.446701, Unfounded
446,Criminal Attempt/Burglary/Criminal Mischief, 0257 10/25/2013, 0050-0100 1025/2013," 5 Mine Street, NJ",40.508764,-74.859051, Open Case
447,Suspicious Drugs, 0138 10/25/2013, 0138 10/25/2013," 33 Dudley Road, NJ",40.481377,-74.430420, Unfounded
448,Suspicious Drugs, 0205 10/25/2013, 0205 10/25/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Unfounded
449,Poss CDS/Arrest on Warrant, 0325 10/25/2013, 0325 10/25/2013," Mine and Union Sts., NJ",40.499874,-74.451217, Arrest
450,Suspicious Drugs, 1711 10/25/2013, 1711 10/25/2013," 590 George Street, NJ",40.503713,-74.448559, Unfounded
451,Trespassing, 1844 10/25/2013, 1844 10/25/2013," 126 College Ave, NJ",40.502910,-74.452141, Arrest
452,Burrglary/Criminal Mischief, 2343 10/252013, 2015 10/25/2013," 132 George Street, NJ",40.486324,-74.438986, Open Case
453,Suspicious Drugs, 2209 10/25/2013, 2209 10/25/2013," 173 Ryders Lane, NJ",40.460438,-74.425476, Unfounded
454,Criminal Mischief, 0129 10/26/2013, 129 26/51," 126 College Ave, NJ",40.502910,-74.452141, Open Case
455,Assault, 0350 10/25/2013, 2100 10/25/2013," 656 Bartholomew Road, NJ",40.519529,-74.460885, Open Case
456,Aggravated Sexual Assault/Criminal Sexual Contact, 0130 10/26/2013, 0130 10/26/2013," College Ave, NJ",40.502260,-74.450927, Open Case
457,Criminal Mischief, 1035 10/26/2013, 1035 10/26/2013," 55 Rockafeller Road, NJ",40.525539,-74.438223, Open Case
458,Theft, 1035 10/26/2013, 1035 10/26/2013," 135 College Ave, NJ",40.502889,-74.451532, Open Case
459,Theft, 1340 10/26/2013, 1340 10/26/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
460,Suspicious Drugs, 1346 10/26/2013, 1346 10/26/2013," 615 George St, NJ",40.502688,-74.446701, Unfounded
461,Assault, 1426 10/26/2013, 1426 10/26/2013," 615 George St, NJ",40.502688,-74.446701, Open Case
462,Suspicious Drugs, 1803 10/26/2013, 1803 10/26/2013," 32 Biel Road East, NJ",40.478799,-74.432250, Unfounded
463,Suspicious Drugs, 1933 10/26/2013, 1933 10/26/2013," 33 Dudley Road, NJ",40.481377,-74.430420, Unfounded
464,Suspicious Drugs, 2129 10/26/2013, 2129 10/26/2013," 618 Marvin Lane, NJ",40.519860,-74.454844, Unfounded
465,Suspicious Drugs, 2141 10/26/2013, 2141 10/26/2013," 97 Davidson Road, NJ",40.525018,-74.455284, Unfounded
466,Simple Assault (DV), 0250 10/27/2013, 0250 10/27/2013," 39 Biel Road East, NJ",40.478942,-74.432261, Arrest
467,Criminal Mischief, 0501 10/27/2013, 1030-1115 10/27/2013," 126 College Ave, NJ",40.502910,-74.452141, Open Case
468,Criminal Mischief, 0557 10/27/2013, 0045 10/27/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Open Case
469,Suspicious Drugs, 0318 10/27/2013, 0318 10/27/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
470,DWI, 0630 10/27/2013, 0334 10/27/2013," Campus and Sutphen, NJ",40.516459,-74.459347, Arrest
471,Criminal Mischief, 0925 10/27/2013, 0925 10/27/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
472,Disorderly Conduct, 1128 10/27/2013, 1128 10/27/2013," 135 College Ave, NJ",40.502889,-74.451532, Open Case
473,Theft, 1257 10/27/2013, 1257 10/27/2013," 50 Biel Road, NJ",40.478553,-74.432276, Open Case
474,Criminal Mischief, 2106 10/27/2013, 2130 10/26 - 1200 10/27/2013," 611 George Street, NJ",40.503592,-74.448256, Open Case
475,Theft, 2056 10/27/2013, 183001835 25/49," 169 College Ave, NJ",40.504402,-74.453090, Open Case
476,Burglary/Theft, 2137 10/27/2013, 0000-2030 10/27/2013," 6 Berrue Circle, NJ",40.524138,-74.431171, Open Case
477,Burglary/Theft/Criminal Mischief, 0830 10/28/2013, 0830 10/28/2013," 135 George Street, NJ",40.447888,-74.386453, Open Case
478,Theft, 0739 10/28/2013, 0739 10/28/2013," 675 Hoes Lane W, NJ",40.525052,-74.470199, Open Case
479,Theft, 1139 10/28/2013, 1139 10/28/2013," 106 Somerset Street, NJ",40.497598,-74.447286, Open Case
480,Theft, 1415 10/28/2013, 1415 10/28/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
481,Poss Drug Paraphernalia, 1544 10/28/2013, 1544 10/28/2013," 93 Gibbons Circle, NJ",40.486322,-74.431708, Arrest
482,Theft, 1600 10/28/2013, 1600 10/28/2013," 105 Joyce Kilmer Ave, NJ",40.489263,-74.451345, Open Case
483,Theft, 2125 10/28/2013, 0440 10/24 - 0800 10/25/2013," 53 Avenue E, NJ",40.655622,-74.122199, Open Case
484,Theft, 1701 10/28/2013, 1701 10/28/2013," 198 Davidson Road, NJ",40.528340,-74.465345, Open Case
485,Theft, 2219 10/28/2013, 1630-1830 10/28/2013," 290 George Street, NJ",40.491800,-74.443010, Open Case
486,Receiving Stolen Property, 2325 10/28/2013, 2325 10/28/2013," 61 Road 3, NJ",40.519574,-74.433679, Open Case
487,Suspicious Drugs, 0139 10/29/2013, 0139 10/29/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Unfounded
488,Criminal Mischief, 1208 10/29/2013, 1208 10/29/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Open Case
489,Criminal Mischief, 1419 10/29/2013, 1419 10/29/2013," 66 College Ave, NJ",40.500191,-74.449212, Open Case
490,Harassment, 1423 10/29/2013, 1423 10/29/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Open Case
491,Theft, 1933 10/29/2013, 1230-1240 10/29/2013," 115 College Ave, NJ",40.502359,-74.451005, Open Case
492,Theft, 2323 10/29/2013, 1545-1900 10/29/2013," 72 Lipman Drive, NJ",40.197349,-74.030196, Open Case
493,Suspicious Drugs, 2340 10/29/2013, 2340 10/29/2013," 30 Easton Ave, NJ",40.496852,-74.446978, Closed Case
494,Suspicious Drugs, 0314 10/30/2013, 0314 10/30/2013," 34 Biel Road West, NJ",40.478444,-74.432011, Unfounded
495,Suspicious Drugs, 0037 10/30/2013, 0037 10/30/2013," 34 Biel Road West, NJ",40.478444,-74.432011, Open Case
496,Theft, 0906 10/30/2013, 0906 10/30/2013," 169 College Ave, NJ",40.504402,-74.453090, Open Case
497,Harassment, 1004 10/30/2013, 1004 10/30/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
498,False Public Alarm, 2748 10/30/2013, 1639 10/30/2013," 153 Davidson Road, NJ",40.524987,-74.455654, Open Case
499,Harassment, 1802 10/30/2013, 2153 10/29 - 1133 10/30/2013," 173 Ryders Lane, NJ",40.460438,-74.425476, Open Case
500,Theft, 2248 10/30/2013, 1400-1405 10/29/2013," 8 Chapel Drive, NJ",40.536134,-74.579574, Open Case
501,Trespassing, 0005 10/31/2013, 2200-2230 10/23/2013," 32 Bevier Road, NJ",40.524602,-74.461202, Open Case
502,Arrest on Warrant, 2357 10/30/2013, 2322 10/30/2013," 145 College Ave, NJ",40.502964,-74.451611, Arrest
503,Theft, 1007 10/31/2013, 1007 10/31/2013," 303 George Street, NJ",40.492523,-74.443038, Open Case
504,Fraud, 1127 10/31/2013, 1127 10/31/2013," 55 Commercial Ave, NJ",40.487919,-74.439785, Open Case
505,Theft, 1216 10/31/2013, 1216 10/31/2013," 8 Chapel Drive, NJ",40.536134,-74.579574, Open Case
506,Suspicious Drugs, 1444 10/31/2013, 1444 10/31/2013," 70 Joyce Kilmer Ave, NJ",40.490643,-74.449869, Open Case
507,Theft, 1506 10/31/2013, 1506 10/31/2013," 581 Taylor Road, NJ",39.594496,-75.084295, Open Case
508,Theft, 1505 10/31/2013, 1505 10/31/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
509,Theft, 1546 10/31/2013, 1546 10/31/2013," 75 Avenue E, NJ",40.656074,-74.121655, Open Case
510,Criminal Mischief, 1614 10/31/2013, 1614 10/31/2013," 52 Biel Road, NJ",40.478656,-74.428718, Open Case
511,Theft, 1724 10/31/2013, 1724 10/31/2013," 36 Bevier Road, NJ",40.524602,-74.461202, Open Case
512,Harassment, 2054 10/31/2013, 2054 10/31/2014," 47 Avenue E, NJ",40.655430,-74.122520, Open Case
513,Suspicious Drugs, 2115 10/31/2013, 2115 10/31/2013," 117 College Ave, NJ",40.502390,-74.451035, Unfounded
514,Suspicious Drugs, 2125 10/31/2013, 2125 10/31/2013," 95 Joyce Kilmer Ave, NJ",40.489805,-74.450774, Closed Case
515,Suspicious Drugs, 2213 10/31/2013, 2213 10/31/2013," 34 Biel Road West, NJ",40.478444,-74.432011, Unfounded
516,Suspicious Drugs, 2312 10/31/2013, 2312 10/31/2013," 34 Biel Road East, NJ",40.478444,-74.432011, Unfounded
517,Criminal Mischief, 2319 10/31/2013, 2120 - 2310 10/31/2013," Huntington and College, NJ",40.505140,-74.453847, Open Case
518,Harassment, 0511 11/1/2013, 0511 11/01/2013," 47 Avenue E, NJ",40.655430,-74.122520, Open Case
519,DWI, 0332 11/1/2013, 0113 11/01/2013," Senior and Wyckoff, NJ",40.502083,-74.455937, Arrest
520,DWI, 0219 11/01/2013, 0127 11/01/2013," 617 George Street, NJ",40.502700,-74.446712, Arrest
521,Harassment, 0130 11/01/2013, 0130 11/01/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
522,MV Theft, 0417 11/01/2013, 0138 11/01/2013," 124 College Ave, NJ",40.502492,-74.451183, Open Case
523,Suspicious Drugs, 0159 11/01/2013, 0159 11/01/2013," 23 Bishop Place, NJ",40.501884,-74.450200, Unfounded
524,Assault, 0352 11/01/2013, 0100 11/01/2013," College and Bartlett, NJ",40.502317,-74.450986, Open Case
525,Theft, 1143 11/01/2013, 1143 11/01/2013," 157 College Ave, NJ",40.503053,-74.451706, Open Case
526,Theft, 1326 11/01/2013, 1326 11/01/2013," 1 Scarlet Knight Way, NJ",40.513197,-74.464098, Open Case
527,Theft, 1601 11/01/2013, 1601 11/01/2013," 303 George Street, NJ",40.492523,-74.443038, Open Case
528,Assault, 2200 11/01/2013, 2200 11/01/2013," Commercial and George, NJ",40.487205,-74.439965, Unfounded
529,Theft, 0127 11/02/2013, 0127 11/02/2013," Nichol and Suydam, NJ",40.483659,-74.438678, Open Case
