ID,Incident Type, Date Reported, Time and Date Occurred,Address,latitude,longitude, Disposition
148,Burglary, 1403 09/19/2013, 0000-1250 09/19/2013," 33 Dudley Road, NJ",40.481377,-74.430420, Open Case
149,Underage Possession of Alcohol,9/14/2013,9/14/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Ordinances Issued
150,Harassment, 1844 09/19/2013, 0115 09/18/2013," 103 Davidson Road, NJ",40.525535,-74.458938, Closed Case
151,Theft, 2001 09/19/2013, 1930 09/19/2013," 62 Road 3, NJ",40.521241,-74.431272, Open Case
152,Arrest on Warrant, 2248 09/19/2013, 2149 09/19/2013," Sicard and Stone Sts., NJ",40.500773,-74.452057, Arrest
153,Theft, 0333 09/20/2013, 1300-2000 09/20/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
154,Suspicious Drugs, 0052 09/20/2013, 0052 09/20/2013," 590 George Street, NJ",40.503713,-74.448559, Unfounded
155,Criminal Mischief, 0356 09/20/2013, 0252 09/20/2013," 130 College Ave, NJ",40.502996,-74.453406, Open Case
156,Arrest on Warrant/tTrespass, 1110 09/20/2013, 0750-1045 09/20/2013," 33 Davidson Road, NJ",40.525085,-74.454877, Arrest
157,Underage Possession of Alcohol, 1454 09/20/2014, 1035 09/20/2013," 73 Dudley Road, NJ",40.479061,-74.437270, Arrest
158,Harassment, 1334 09/20/2013, 1300-1500 009/20/2013," 675 Hoes Lane W, NJ",40.525052,-74.470199, Open Case
159,Suspicious Drugs, 1454 09/20/2013, 1454 09/20/2013," 73 Lipman Drive, NJ",40.196963,-74.030577, Unfounded
160,Theft, 1513 09/20/2013, 1145-1400 09/20/2013," 43 College Ave, NJ",40.500647,-74.449260, Open Case
161,Theft, 2045 09/20/2013, 0100-0101 09/20/2013," Mine Street, NJ",40.506578,-74.864966, Open Case
162,Theft, 2127 09/20/2013, 1930-2045 09/20/2013," 656 Bartholomew Road, NJ",40.519529,-74.460885, Open Case
163,Possession of CDS, 2317 09/20/2013, 0000 09/20/2013," Wyckoff and Huntington, NJ",40.977254,-74.157123, Arrest
164,Suspicious Drugs, 2257 09/20/2013, 2257 9/20/2013," 91 Gibbons Circle, NJ",40.485277,-74.432159, Open Case
165,Criminal Mischief, 1235 09/21/2013, 1634 09/20/2013," Douglas Campus, NJ",40.478671,-74.431789, Open Case
166,Theft, 1010 09/21/2013, 1010 09/21/2013," 23 Bishop Place, NJ",40.501884,-74.450200, Open Case
167,Underage Possession of Alcohol,9/21/2013,9/21/2013," 108 Frelinghuysen Road, NJ",40.522367,-74.464725, Ordinances Issued
